product_id,product_name,category,brand,price
1,Iure,Dairy,Nestle,236.96
2,Ratione,Snacks,Parle,40.82
3,Distinctio,Dairy,HUL,239.86
4,Vel,Beverages,Nestle,499.32
5,Saepe,Household,ITC,349.33
6,Aperiam,Household,Amul,456.66
7,Neque,Beverages,Nestle,174.61
8,Animi,Snacks,Nestle,80.57
9,Ipsa,Dairy,Amul,300.98
10,Facilis,Personal Care,ITC,497.42
11,Ut,Dairy,HUL,237.78
12,Culpa,Dairy,ITC,67.61
13,Quam,Beverages,Amul,332.44
14,Sint,Dairy,Amul,435.44
15,Nisi,Household,ITC,446.28
16,Aut,Household,HUL,417.16
17,Delectus,Household,ITC,370.21
18,Inventore,Personal Care,ITC,170.01
19,Ullam,Personal Care,HUL,477.72
20,Sint,Household,Nestle,63.79
21,A,Beverages,Nestle,227.3
22,Odio,Personal Care,Dabur,287.06
23,Quo,Dairy,Parle,289.61
24,Alias,Beverages,ITC,189.73
25,Distinctio,Household,Amul,44.69
26,Mollitia,Personal Care,Parle,169.98
27,Non,Beverages,Parle,263.56
28,Quibusdam,Snacks,Amul,251.45
29,Recusandae,Beverages,HUL,425.78
30,Unde,Personal Care,Nestle,386.05
31,Eum,Dairy,Dabur,407.47
32,Vitae,Dairy,Parle,314.52
33,Officia,Dairy,Nestle,312.32
34,Minima,Personal Care,Nestle,106.6
35,Totam,Personal Care,HUL,188.49
36,Dolores,Snacks,Dabur,291.83
37,Fuga,Household,Nestle,88.1
38,Magni,Beverages,Nestle,378.13
39,Sed,Snacks,ITC,221.52
40,Magnam,Personal Care,Dabur,197.63
41,Aliquam,Personal Care,Parle,306.19
42,Cumque,Beverages,Dabur,95.56
43,Voluptates,Dairy,Nestle,343.5
44,Sapiente,Personal Care,ITC,337.73
45,Ex,Household,Parle,232.18
46,Quibusdam,Personal Care,Dabur,382.37
47,Sunt,Beverages,HUL,226.36
48,Itaque,Personal Care,Amul,345.67
49,Mollitia,Household,Parle,340.22
50,Voluptate,Beverages,Dabur,209.73
51,Recusandae,Dairy,Nestle,23.69
52,Officiis,Personal Care,Dabur,388.33
53,Adipisci,Personal Care,HUL,177.5
54,Possimus,Beverages,ITC,378.57
55,Ipsam,Snacks,Dabur,202.5
56,Aperiam,Snacks,Parle,288.19
57,Ipsa,Personal Care,Nestle,210.59
58,Vel,Beverages,ITC,29.0
59,Dicta,Beverages,HUL,296.36
60,Temporibus,Dairy,ITC,360.56
61,Nihil,Household,HUL,75.28
62,Voluptatem,Beverages,HUL,102.5
63,Porro,Dairy,ITC,419.37
64,Nesciunt,Personal Care,Nestle,229.62
65,Aperiam,Beverages,Dabur,229.12
66,Harum,Household,Parle,57.75
67,Neque,Personal Care,Amul,182.97
68,Vel,Personal Care,Dabur,56.66
69,Voluptatum,Beverages,Parle,264.78
70,Nihil,Personal Care,HUL,369.14
71,Atque,Snacks,Dabur,69.35
72,Quis,Personal Care,Dabur,103.28
73,Saepe,Snacks,Amul,56.17
74,Eum,Household,ITC,382.13
75,Nulla,Dairy,ITC,346.94
76,Iure,Dairy,Amul,324.94
77,Possimus,Dairy,HUL,434.84
78,Sequi,Personal Care,Dabur,231.09
79,Velit,Household,ITC,323.06
80,Sunt,Personal Care,Parle,46.96
81,Minus,Dairy,Nestle,169.0
82,Hic,Household,Nestle,47.31
83,Consectetur,Personal Care,Nestle,329.44
84,Impedit,Beverages,Parle,305.16
85,Placeat,Household,ITC,298.56
86,Nostrum,Beverages,ITC,456.34
87,Eligendi,Dairy,Amul,110.35
88,Optio,Dairy,ITC,260.66
89,Cupiditate,Beverages,ITC,69.68
90,Voluptas,Personal Care,Amul,60.48
91,Vel,Snacks,Nestle,138.92
92,Odit,Household,ITC,271.55
93,Impedit,Dairy,Dabur,194.67
94,Animi,Personal Care,ITC,216.21
95,Temporibus,Personal Care,Amul,306.99
96,Nobis,Personal Care,Nestle,178.25
97,Quae,Dairy,Amul,205.55
98,Mollitia,Personal Care,Amul,428.75
99,Accusantium,Dairy,Dabur,180.01
100,Dolorum,Dairy,Amul,87.89
101,Omnis,Personal Care,HUL,484.49
102,Suscipit,Household,Dabur,305.62
103,Autem,Beverages,HUL,288.28
104,Porro,Personal Care,Dabur,341.66
105,Autem,Dairy,Nestle,330.09
106,Repudiandae,Household,Parle,193.68
107,Mollitia,Personal Care,HUL,106.53
108,Totam,Snacks,HUL,474.88
109,Amet,Household,Dabur,128.74
110,Sed,Snacks,Dabur,57.04
111,Consequatur,Beverages,Parle,390.02
112,Ab,Dairy,Nestle,337.73
113,Praesentium,Dairy,Dabur,306.68
114,Iure,Snacks,Dabur,106.81
115,Eveniet,Dairy,Dabur,366.17
116,Magnam,Beverages,ITC,194.86
117,Pariatur,Snacks,ITC,313.09
118,Doloremque,Household,Dabur,276.33
119,Perspiciatis,Personal Care,ITC,453.91
