promotion_id,product_id,discount,start_date,end_date
1,315,15,2025-08-02,2025-09-01
2,467,25,2025-11-01,2025-12-01
3,407,25,2026-05-23,2026-06-22
4,441,5,2025-12-04,2026-01-03
5,298,30,2026-06-22,2026-07-22
6,433,15,2026-06-21,2026-07-21
7,391,20,2025-12-02,2026-01-01
8,276,20,2025-07-31,2025-08-30
9,328,30,2025-08-26,2025-09-25
10,235,15,2026-03-07,2026-04-06
11,299,30,2025-08-28,2025-09-27
12,78,25,2026-04-24,2026-05-24
13,149,15,2025-11-02,2025-12-02
14,311,25,2026-05-07,2026-06-06
15,100,5,2025-08-10,2025-09-09
16,104,20,2026-06-03,2026-07-03
17,251,15,2025-09-25,2025-10-25
18,327,20,2026-03-26,2026-04-25
19,81,30,2025-12-30,2026-01-29
20,385,20,2026-06-19,2026-07-19
21,210,25,2025-12-16,2026-01-15
22,134,30,2025-07-15,2025-08-14
23,418,25,2026-05-19,2026-06-18
24,494,5,2026-05-09,2026-06-08
25,466,30,2026-04-08,2026-05-08
26,170,10,2025-08-10,2025-09-09
27,208,30,2025-10-17,2025-11-16
28,217,20,2026-06-18,2026-07-18
29,331,25,2026-03-11,2026-04-10
30,108,10,2025-09-01,2025-10-01
31,17,10,2026-02-19,2026-03-21
32,39,20,2025-12-17,2026-01-16
33,64,30,2025-10-22,2025-11-21
34,365,10,2026-03-18,2026-04-17
35,448,5,2026-02-09,2026-03-11
36,248,20,2026-05-14,2026-06-13
37,306,5,2025-10-05,2025-11-04
38,175,10,2025-07-19,2025-08-18
39,155,5,2026-06-21,2026-07-21
40,469,10,2026-06-27,2026-07-27
41,284,30,2025-07-08,2025-08-07
42,274,10,2026-05-01,2026-05-31
43,97,10,2025-11-17,2025-12-17
44,53,30,2026-06-23,2026-07-23
45,164,30,2026-04-11,2026-05-11
46,482,30,2026-03-06,2026-04-05
47,50,25,2026-04-06,2026-05-06
48,9,5,2025-09-07,2025-10-07
49,204,20,2026-06-11,2026-07-11
50,144,25,2026-02-13,2026-03-15
51,419,5,2026-07-01,2026-07-31
52,81,10,2025-12-14,2026-01-13
53,217,10,2025-08-07,2025-09-06
54,276,5,2026-05-21,2026-06-20
55,445,5,2026-03-01,2026-03-31
56,447,25,2026-03-21,2026-04-20
57,114,25,2026-03-24,2026-04-23
58,271,30,2025-10-06,2025-11-05
59,378,25,2025-11-22,2025-12-22
60,330,15,2026-01-02,2026-02-01
61,489,10,2026-04-03,2026-05-03
62,37,5,2026-06-25,2026-07-25
63,182,15,2025-10-22,2025-11-21
64,397,30,2026-01-12,2026-02-11
65,458,10,2025-12-13,2026-01-12
66,289,20,2026-01-23,2026-02-22
67,279,5,2025-08-20,2025-09-19
68,185,20,2025-11-13,2025-12-13
69,126,15,2026-01-27,2026-02-26
70,415,5,2026-03-02,2026-04-01
71,441,15,2025-08-11,2025-09-10
72,297,5,2025-07-18,2025-08-17
73,12,30,2025-08-17,2025-09-16
74,194,20,2026-02-02,2026-03-04
75,7,25,2025-10-18,2025-11-17
76,216,10,2026-05-13,2026-06-12
77,121,30,2025-11-01,2025-12-01
78,195,15,2026-02-24,2026-03-26
79,31,15,2025-10-19,2025-11-18
80,204,5,2025-10-25,2025-11-24
81,487,10,2025-09-24,2025-10-24
82,211,30,2025-12-12,2026-01-11
83,90,10,2025-09-23,2025-10-23
84,160,20,2026-06-14,2026-07-14
85,283,30,2026-01-23,2026-02-22
86,310,10,2025-11-14,2025-12-14
87,75,15,2025-12-19,2026-01-18
88,54,30,2026-01-05,2026-02-04
89,401,25,2026-06-28,2026-07-28
90,357,10,2025-10-26,2025-11-25
91,445,20,2025-09-24,2025-10-24
92,493,30,2025-09-13,2025-10-13
93,51,10,2026-03-08,2026-04-07
94,173,5,2025-10-10,2025-11-09
95,490,20,2026-01-12,2026-02-11
96,65,5,2025-12-29,2026-01-28
97,31,25,2026-06-06,2026-07-06
98,149,5,2026-07-01,2026-07-31
99,40,15,2025-09-10,2025-10-10
100,444,20,2025-07-28,2025-08-27
