sale_id,customer_id,product_id,store_id,quantity,amount,sale_date
1,661,477,23,9,3175.63,2026-05-30
2,296,72,24,9,900.86,2025-04-27
3,635,28,46,6,2544.92,2025-09-20
4,200,418,50,1,252.61,2024-09-05
5,507,210,88,9,2363.49,2024-07-25
6,861,228,63,8,1756.02,2025-06-16
7,32,408,98,3,179.05,2025-04-25
8,282,116,69,4,640.81,2024-11-05
9,469,290,96,5,503.7,2025-06-14
10,116,294,15,8,2270.95,2025-02-06
11,844,188,70,5,1960.27,2025-11-24
12,452,280,28,1,384.8,2026-06-17
13,850,335,97,7,484.12,2025-12-04
14,34,231,34,4,651.6,2024-09-30
15,90,225,16,6,2603.13,2026-03-09
16,756,302,89,4,482.97,2024-07-25
17,625,324,55,6,2599.82,2026-01-11
18,804,106,27,3,947.26,2025-04-23
19,546,144,77,1,293.64,2025-11-15
20,721,150,38,9,907.39,2025-04-27
21,879,264,87,10,1483.25,2026-04-21
22,769,403,53,2,170.17,2025-11-21
23,888,336,17,1,496.39,2024-10-06
24,729,165,32,3,419.54,2025-02-21
25,592,324,35,7,1784.58,2025-09-17
26,78,325,99,7,1400.58,2026-05-30
27,768,143,89,2,426.74,2026-02-10
28,500,168,75,6,1429.52,2026-04-20
29,868,376,12,1,437.08,2024-10-12
30,715,184,9,8,2597.79,2025-01-22
31,992,220,28,9,1898.13,2024-07-17
32,849,146,44,8,1191.18,2026-02-28
33,580,437,63,9,2676.67,2025-05-16
34,781,25,6,6,2695.17,2025-06-02
35,857,236,3,2,641.13,2025-06-23
36,162,226,59,2,932.26,2024-10-24
37,439,104,89,1,496.08,2025-07-28
38,310,82,36,3,1330.29,2025-07-27
39,257,43,48,2,668.4,2024-09-26
40,641,157,93,3,134.57,2024-10-11
41,94,361,13,4,904.12,2025-10-23
42,80,68,76,1,122.44,2024-09-04
43,456,5,2,4,1077.33,2026-03-29
44,881,217,89,6,2473.27,2026-05-24
45,235,197,12,3,747.89,2025-09-11
46,377,452,39,2,139.07,2024-12-07
47,833,386,18,3,611.12,2025-12-12
48,577,5,79,3,158.51,2024-11-03
49,740,110,81,3,693.74,2026-04-15
50,631,352,57,3,1384.65,2024-12-12
51,103,72,97,4,246.44,2025-11-25
52,394,180,55,2,605.99,2024-10-25
53,254,142,83,6,2398.3,2024-12-01
54,616,308,93,-5,278.24,2024-12-31
55,964,354,4,10,1567.62,2026-06-02
56,622,261,25,5,593.07,2025-02-03
57,56,402,31,7,1133.02,2025-10-06
58,247,256,82,8,1641.8,2024-09-01
59,911,7,47,10,540.86,2026-02-13
60,882,430,73,6,500.11,2024-11-08
61,700,89,98,7,1367.79,2026-01-15
62,789,38,3,8,3825.1,2025-06-13
63,269,111,6,10,524.16,2024-08-10
64,408,260,37,1,475.37,2025-12-14
65,434,360,52,9,3493.92,2026-03-14
66,551,316,20,2,654.92,2024-12-14
67,81,262,27,5,300.63,2025-12-26
68,401,301,82,3,832.4,2026-01-14
69,448,374,31,2,337.76,2026-01-15
70,947,223,15,1,137.35,2025-10-15
71,57,159,86,8,2511.22,2025-02-16
72,725,71,90,3,232.0,2025-11-30
73,976,178,67,1,98.64,2026-04-22
74,739,133,22,9,3562.5,2026-02-06
75,800,448,35,6,485.56,2024-12-19
76,31,172,55,2,780.57,2025-12-29
77,270,365,74,5,1357.25,2024-11-09
78,524,185,8,2,516.3,2025-06-12
79,171,189,21,8,3459.94,2025-06-21
80,916,294,87,5,1955.99,2026-06-15
81,522,2,6,2,259.27,2025-09-05
82,484,187,50,1,137.38,2025-01-14
83,984,440,5,3,317.7,2025-04-06
84,732,380,84,9,3649.46,2025-07-09
85,255,214,93,7,894.37,2025-04-06
86,80,293,48,6,901.22,2026-01-06
87,924,27,23,2,521.96,2025-07-26
