item_id,order_id,product_id,quantity
2,4646,12,1
3,3339,146,1
4,3259,141,5
5,3599,12,2
6,4104,33,2
7,4672,79,3
9,66,90,1
10,3109,34,2
11,3764,48,2
12,4692,39,2
13,781,9,4
14,381,2,5
16,3638,35,1
17,2741,117,5
18,4449,145,1
19,4863,80,1
20,1969,46,2
21,2898,20,4
24,1379,44,5
25,4279,126,3
26,3554,29,2
28,3800,121,1
29,4234,13,3
31,1267,149,2
32,2262,80,1
33,1132,123,1
34,1752,138,2
35,1274,23,4
37,2949,51,2
38,107,54,3
39,1223,34,4
40,1042,27,2
41,1071,107,1
42,3243,15,5
44,4402,19,2
45,735,19,4
46,335,41,5
47,239,139,1
48,3211,146,2
49,3439,129,4
50,3020,107,4
51,333,101,1
52,3226,16,3
53,2087,10,4
54,1609,49,5
55,70,97,2
56,1384,112,1
57,1204,106,3
58,4545,69,1
59,4205,11,4
60,4868,26,4
61,1967,22,5
62,2160,144,2
63,2308,48,1
64,1933,67,1
65,1974,94,5
66,230,69,4
67,3199,145,4
68,3716,69,3
69,2954,112,4
70,2219,129,1
71,2297,46,3
72,65,79,3
73,3270,83,3
76,2177,32,3
77,2170,150,2
78,954,82,2
79,458,106,4
80,149,32,5
81,1369,31,5
82,4563,41,3
83,1444,130,3
84,4081,128,2
85,208,106,2
86,3644,34,4
89,516,95,5
90,374,39,2
91,539,82,2
93,1783,136,1
94,1348,51,4
95,2876,133,2
96,220,48,4
97,2818,96,3
98,1747,38,4
100,1820,58,4
101,4156,9,1
102,4516,12,4
103,990,41,2
105,4536,143,2
106,4039,112,3
107,2116,123,4
110,1262,145,2
111,2898,97,5
113,3923,63,1
115,2583,144,1
116,2654,19,4
117,470,74,2
118,3880,99,3
119,369,65,2
120,552,110,3
122,749,97,2
124,5,5,4
125,123,128,1
126,601,147,4
127,3306,146,4
128,4287,19,4
129,1896,48,4
130,232,87,5
131,3893,108,2
132,4684,80,5
133,3132,49,5
134,4737,47,2
135,992,91,3
136,3098,73,4
138,2509,112,3
139,4859,80,1
140,1650,89,1
141,2709,105,3
142,3853,99,5
143,1528,113,5
144,1126,98,2
145,3039,3,3
146,4334,106,4
147,642,75,5
148,4669,101,3
149,3561,85,3
150,2519,19,3
151,3241,63,2
152,2118,116,5
153,3359,135,5
154,1840,85,2
156,4280,70,2
157,66,147,1
158,944,12,3
159,4249,74,4
160,3872,34,2
161,84,72,3
162,526,58,1
163,2915,30,4
164,3224,136,4
165,4771,121,5
167,4527,67,4
168,694,139,1
169,2430,49,2
170,1112,64,4
173,268,81,2
174,2299,150,2
175,735,125,3
176,2159,10,3
177,1871,94,2
178,4581,72,3
179,2759,41,2
182,1798,105,1
183,1007,110,3
184,88,110,4
185,2846,81,1
186,3033,21,2
188,1776,34,5
189,558,149,1
190,1336,34,3
191,3389,67,5
192,833,122,4
193,2134,47,1
194,4437,113,4
195,2782,17,3
196,4792,88,5
197,2087,38,4
198,1538,20,1
199,705,31,5
200,2840,142,5
201,606,13,4
202,296,58,3
203,2063,46,1
204,1415,127,3
205,4568,42,3
206,926,97,3
207,3134,50,1
208,1602,75,4
209,152,133,5
211,3093,90,3
212,3672,47,2
213,4897,107,2
214,4080,44,3
215,144,103,1
216,4953,95,2
217,2342,83,4
218,1243,81,5
219,3571,40,2
220,2431,47,4
221,2124,7,5
222,1594,28,5
223,332,147,2
224,1287,22,2
225,1417,96,5
226,923,138,4
227,4390,103,1
228,4775,84,5
230,3181,129,4
231,4297,81,4
232,2309,103,1
233,1060,47,2
235,524,42,5
236,924,125,5
237,917,115,4
238,4867,72,5
240,1797,109,2
242,1545,1,1
243,1471,136,5
244,2911,42,5
245,4625,16,4
246,3541,118,2
247,1453,53,5
248,3157,53,4
249,683,30,5
250,3298,117,4
252,1648,40,5
253,1834,48,5
254,519,84,1
255,3951,25,4
257,2183,20,4
258,3357,129,3
259,3433,137,5
260,2867,46,1
261,1235,97,4
262,1400,91,1
263,3672,130,2
264,1832,112,1
265,2441,149,1
266,3893,106,3
268,4877,128,3
269,4678,71,5
270,4983,78,4
271,3755,88,5
272,4369,98,5
273,2173,3,2
274,4217,3,2
275,258,36,1
277,2070,27,1
278,4421,49,1
279,2500,139,5
280,3881,28,4
282,377,100,4
284,4571,145,4
285,2411,146,4
286,160,136,4
287,287,53,1
288,2224,78,3
289,4877,101,3
290,4577,103,3
291,317,33,3
292,3574,36,4
293,1510,47,1
294,1766,76,1
295,2518,100,3
296,2668,58,3
298,2849,43,5
299,2041,48,1
300,3870,37,4
301,3487,138,2
302,4553,83,2
