order_id,customer_id,order_date,status
1,227,2025-05-02,Delivered
2,58,2025-04-09,Cancelled
3,280,2024-12-30,Shipped
4,76,2024-11-29,Returned
5,461,2025-06-02,Delivered
6,461,2025-10-20,Delivered
7,182,2024-07-13,Pending
8,499,2025-09-29,Cancelled
9,443,2025-07-29,Cancelled
10,452,2026-04-26,Returned
11,401,2026-01-26,Cancelled
12,137,2025-01-07,Pending
13,447,2026-01-12,Cancelled
14,419,2025-08-01,Cancelled
15,115,2025-02-02,Returned
16,143,2025-05-23,Returned
17,180,2026-06-27,Shipped
18,170,2025-09-05,Returned
19,92,2025-09-28,Delivered
20,56,2025-04-19,Returned
21,224,2024-08-02,Pending
22,461,2024-08-06,Pending
23,1,2025-09-22,Cancelled
24,187,2025-07-18,Returned
25,320,2026-01-06,Returned
26,260,2025-04-20,Pending
27,357,2024-10-03,Pending
28,341,2025-10-01,Cancelled
29,316,2025-07-17,Delivered
30,156,2025-12-26,Shipped
31,311,2024-09-08,Pending
32,346,2024-10-26,Cancelled
33,338,2026-01-26,Shipped
34,172,2026-01-27,Cancelled
35,345,2025-08-20,Cancelled
36,13,2026-05-06,Shipped
37,436,2026-02-10,Shipped
38,100,2026-03-04,Pending
39,125,2025-02-10,Delivered
40,399,2025-07-04,Shipped
41,238,2025-08-13,Delivered
42,234,2024-09-06,Shipped
43,287,2025-08-18,Pending
44,314,2026-05-30,Pending
45,426,2025-10-24,Cancelled
46,381,2024-09-14,Cancelled
47,431,2025-01-14,Shipped
48,249,2025-07-09,Delivered
49,366,2025-11-09,Returned
50,458,2026-02-04,Cancelled
51,197,2025-12-05,Delivered
52,213,2025-12-09,Pending
53,32,2024-09-06,Shipped
54,485,2025-12-21,Shipped
55,195,2025-11-12,Returned
56,386,2025-08-30,Pending
57,276,2026-03-19,Shipped
58,460,2025-10-01,Pending
59,249,2025-03-07,Pending
60,371,2025-10-27,Cancelled
61,319,2024-08-17,Shipped
62,289,2026-06-09,Pending
63,70,2025-03-31,Returned
64,195,2025-08-27,Returned
65,390,2026-03-04,Pending
66,130,2024-07-16,Shipped
